47.74.11.251:8080
8.222.160.61:8080
47.74.41.87:2083
47.74.15.117:8443
8.213.137.24:443
47.74.42.111:2053
47.74.18.121:8443
47.236.172.95:2053
47.245.29.126:80
8.219.74.35:2053
8.219.126.3:2052
47.245.57.109:2082
47.245.53.101:2086
8.219.98.13:2083
47.74.42.111:8080
8.219.103.57:2087
47.236.144.48:2052
8.222.215.228:8080
8.222.208.38:2083
47.245.37.29:2083
47.236.109.115:2087
8.219.179.34:2096
8.219.134.117:8443
8.219.63.66:2096
47.236.204.152:8443
8.209.215.247:8080
47.245.80.142:2096
8.222.211.16:2096
8.219.204.120	2086
47.236.168.17	8880
8.222.252.150	2087
8.222.223.34	2095
47.236.201.98	2095
8.219.4.122	80
47.245.55.94	2095
47.236.114.167	2083
47.236.171.205	8880
47.245.102.156	8880
8.219.53.222	2082
8.219.217.81	2053
47.236.79.77	8443
47.236.144.156	2086
8.219.101.138	2087
8.219.201.8	2082
47.236.88.85	2053
8.222.164.209	2082
47.245.55.99	2053
8.218.146.204	2053
47.236.193.208	2087
8.219.73.188	2083
8.219.167.65	8443
47.74.13.66	2053
8.219.204.120	8443
8.222.252.123	8443
47.236.144.156	8880
47.236.7.206	2083
47.236.88.85	8443
8.219.139.86	2095
8.217.49.34	2095
47.236.145.180	2053
8.219.11.158	80
8.222.249.190	2053
8.222.221.90	2096
8.219.100.155	2052
47.74.54.33	2095
47.245.10.77	8880
47.245.107.174	2086
8.222.191.158	2086
